d		、
k		。
q		ゅ
w		た
e		っ
r		て
t		ゃ
y		れ
u		き
i		い
o		し
p		ほ
a		な
s		と
f		は
g		か
h		の
j		う
l		こ
;		ひ
z		ょ
x		に
c		お
v		る
b		も
n		さ
m		す
,		ん
.		つ
/		く
:		:
、q	む
、w	
、e	ゆ
、r	め
、t	へ
、y	ぬ
、u	ぎ
、i	ぞ
、o	じ
、p	ぽ
、a	ょう
、s	よ
、d	!
、f	ま
、g	や
、h	ぱ
、j	り
、k	を
、l	ご
、;	ぴ
、z	・
、x	け
、c	せ
、v	ふ
、b	ち
、n	ざ
、m	ず
、,	え
、.	づ
、/	ぐ
。q	わ
。w	だ
。e	ぅ
。r	で
。t	ぺ
。y	
。u	み
。i	そ
。o	ね
。p	
。a	ぉ
。s	ど
。d	を
。f	ば
。g	が
。h	ら
。j	あ
。k	？
。l	です
。;	ゅう
。z	
。x	げ
。c	ぜ
。v	ぷ
。b	ぢ
。n	ぼ
。m	ろ
。,	ます
。.	れ
。/	ふぉ
たt	ちゃ
たq	ちゅ
たz	ちょ
た、a	ちょう
た。;	ちゅう
っt	ぁ
っq	ぃ
っz	ぇ
てt	てゃ
てq	てゅ
てz	てょ
とt	ぢゃ
とq	ぢゅ
とz	ぢょ
はt	ひゃ
はq	ひゅ
はz	ひょ
は、a	ひょう
は。;	ひゅう
かt	ぴゃ
かq	ぴゅ
かz	ぴょ
か、a	ぴょう
か。;	ぴゅう
にt	にゃ
にq	にゅ
にz	にょ
るt	りゃ
るq	りゅ
るz	りょ
る、a	りょう
る。;	りゅう
きt	きゃ
きq	きゅ
きz	きょ
しt	しゃ
しq	しゅ
しz	しょ
のt	ふぁ
のq	ふぃ
のz	ふぇ
の、a	ふぁん
の。;	ふぃん
うt	ぎゃ
うq	ぎゅ
うz	ぎょ
う、a	ぎょう
う。;	ぎゅう
こt	じゃ
こq	じゅ
こz	じょ
こ、a	じょう
こ。;	じゅう
ひt	ぶ
ひq	び
ひz	べ
すt	びゃ
すq	びゅ
すz	びょ
す、a	びょう
す。;	びゅう
んt	みゃ
んq	みゅ
んz	みょ
ん、a	みょう
ん。;	みゅう
(	（
)	）
[	「
]	」
{	【
}	】
-	ー
:-	〜
:h	←
:j	↓
:k	↑
:l	→
:[	『
:]	』
:d	※
